TimeStamp;Temp;Cloud;WindVelocity;WindDirection;UV
2018-01-01 01:00:03;6.6;88;2.6;190;0.00
2018-01-01 02:00:03;7.0;88;3.1;200;0.00
2018-01-01 03:00:03;7.0;80;2.6;200;0.00
2018-01-01 03:59:32;6.4;80;2.6;170;0.00
2018-01-01 04:59:32;6.4;80;2.6;200;0.00
2018-01-01 07:59:33;6.0;64;3.1;210;0.00
2018-01-01 08:59:32;6.0;88;3.6;220;0.00
2018-01-01 09:59:32;6.0;92;4.6;250;0.00
2018-01-01 10:59:32;5.0;92;3.6;230;0.00
2018-01-01 11:59:32;6.0;92;3.6;220;0.00
2018-01-01 12:59:32;6.0;92;3.1;220;0.00
2018-01-01 13:59:32;5.4;92;7.2;250;0.00
2018-01-01 14:59:32;5.0;36;6.2;250;0.00
2018-01-01 15:59:33;5.0;36;5.7;250;0.00
2018-01-01 16:59:32;5.0;36;3.6;230;0.00
2018-01-01 17:59:32;5.0;48;2.6;230;0.00
2018-01-01 18:59:32;5.0;48;2.6;230;0.00
2018-01-01 19:59:32;5.0;48;3.1;230;0.00
2018-01-01 20:59:32;5.0;80;3.6;230;0.00
2018-01-01 21:59:32;5.0;80;3.1;220;0.00
2018-01-01 23:00:07;5.0;80;3.1;230;0.00
2018-01-02 11:00:08;3.4;0;3.1;230;0.00
2018-01-02 12:00:02;5.0;0;3.6;240;0.00
2018-01-02 13:00:06;6.0;0;3.1;230;0.00
2018-01-02 14:00:02;6.4;0;3.1;240;0.00
2018-01-02 15:00:02;5.4;20;2.1;230;0.00
2018-01-02 16:00:03;5.0;20;2.6;230;0.00
2018-01-02 17:00:02;4.4;20;2.1;220;0.00
2018-01-02 18:00:02;3.6;36;1.5;170;0.00
2018-01-02 19:00:01;3.6;36;1.0;200;0.00
2018-01-02 20:00:01;4.0;36;1.5;190;0.00
2018-01-02 21:00:01;4.4;44;2.1;200;0.00
2018-01-02 22:00:01;4.0;44;2.1;190;0.00
2018-01-02 23:00:01;5.0;44;2.6;180;0.00
2018-01-03 00:00:07;5.0;92;3.1;180;0.00
2018-01-03 01:00:01;5.0;92;2.6;180;0.00
2018-01-03 02:00:01;4.4;92;4.1;160;0.00
2018-01-03 03:00:03;4.5;88;4.1;150;0.00
2018-01-03 04:00:04;4.4;88;5.1;150;0.00
2018-01-03 05:00:01;4.0;88;5.7;140;0.00
2018-01-03 07:00:31;3.4;92;7.7;130;0.00
2018-01-03 08:00:01;2.5;92;7.2;130;0.00
2018-01-03 09:00:02;1.9;92;7.2;130;0.00
2018-01-03 10:00:02;1.9;92;7.2;130;0.00
2018-01-03 11:00:01;1.4;92;6.2;120;0.00
2018-01-03 12:00:01;1.4;92;5.1;120;0.00
2018-01-03 13:00:01;1.4;92;5.7;120;0.00
2018-01-03 14:00:02;1.9;92;3.6;120;0.00
2018-01-03 15:00:01;2.9;48;2.6;140;0.00
2018-01-03 16:00:00;2.9;48;1.0;130;0.00
2018-01-03 17:00:00;2.3;48;2.4;191;0.00
2018-01-03 18:00:00;1.4;20;0.5;200;0.00
2018-01-03 19:00:00;2.8;20;1.5;200;0.00
2018-01-03 20:00:00;2.8;20;2.1;230;0.00
2018-01-03 21:00:01;2.4;24;2.1;220;0.00
2018-01-03 22:00:00;2.8;24;1.0;210;0.00
2018-01-03 23:00:01;3.3;24;1.0;180;0.00
2018-01-04 00:00:01;2.3;64;2.1;170;0.00
2018-01-04 01:00:00;2.3;64;2.1;180;0.00
2018-01-04 02:00:00;2.9;64;1.0;200;0.00
2018-01-04 03:00:01;2.9;92;1.5;230;0.00
2018-01-04 04:00:00;2.6;92;5.1;290;0.00
2018-01-04 05:00:00;2.1;92;3.1;280;0.00
2018-01-04 07:00:29;2.6;88;3.1;280;0.00
2018-01-04 08:00:16;3.0;88;2.1;270;0.00
2018-01-04 09:00:01;3.0;88;2.6;260;0.00
2018-01-04 10:00:03;3.0;80;2.6;250;0.00
2018-01-04 11:00:08;3.0;80;3.1;260;0.00
2018-01-04 12:00:01;4.0;76;3.1;250;0.00
2018-01-04 13:00:01;4.0;76;3.6;260;0.00
2018-01-04 14:00:01;4.0;76;2.1;260;0.00
2018-01-04 15:00:00;4.0;88;2.6;260;0.00
2018-01-04 16:00:00;4.0;88;2.6;240;0.00
2018-01-04 17:00:00;3.4;88;2.6;250;0.00
2018-01-04 17:59:59;3.4;80;2.1;240;0.00
2018-01-04 19:00:00;3.4;80;1.5;250;0.00
2018-01-04 19:59:59;3.0;80;1.0;330;0.00
2018-01-04 21:00:00;3.0;64;0.5;90;0.00
2018-01-04 21:59:59;3.0;64;0.5;160;0.00
2018-01-04 23:00:00;3.0;64;1.5;140;0.00
2018-01-05 00:00:01;3.0;76;2.1;160;0.00
2018-01-05 01:00:00;3.0;76;1.0;140;0.00
2018-01-05 02:00:00;2.4;76;1.5;40;0.00
2018-01-05 03:00:01;2.4;88;1.5;20;0.00
2018-01-05 04:00:14;2.4;88;1.5;30;0.00
2018-01-05 05:00:05;2.4;88;1.5;20;0.00
2018-01-05 06:00:00;2.4;88;2.6;20;0.00
2018-01-05 06:59:59;2.4;88;1.0;340;0.00
2018-01-05 07:59:59;1.9;88;1.5;360;0.00
2018-01-05 09:00:00;1.3;80;2.6;310;0.00
2018-01-05 10:00:00;0.4;44;3.1;320;0.00
2018-01-05 10:59:59;1.3;44;2.1;310;0.00
2018-01-05 11:59:59;1.9;56;2.6;280;0.00
2018-01-05 12:59:59;2.4;56;3.1;290;0.00
2018-01-05 14:00:00;2.4;56;3.1;300;0.00
2018-01-05 14:59:59;3.0;88;3.1;280;0.00
2018-01-05 15:59:59;2.0;88;3.1;290;0.00
2018-01-05 16:59:59;2.0;88;2.1;270;0.00
2018-01-05 17:59:59;0.9;88;2.1;280;0.00
2018-01-05 18:59:59;0.3;88;2.1;270;0.00
2018-01-05 19:59:59;0.9;88;1.0;340;0.00
2018-01-05 20:59:59;0.4;44;1.5;220;0.00
2018-01-05 21:59:59;0.9;44;1.0;290;0.00
2018-01-05 23:00:00;1.0;44;2.6;280;0.00
2018-01-05 23:59:59;0.6;20;1.0;300;0.00
2018-01-06 00:59:59;-0.4;20;1.0;280;0.00
2018-01-06 01:59:59;-0.4;20;1.8;296;0.00
2018-01-06 02:59:59;-0.6;12;2.1;290;0.00
2018-01-06 04:00:09;-1.6;12;2.1;290;0.00
2018-01-06 04:59:58;-1.1;12;1.0;310;0.00
2018-01-06 07:59:58;-0.1;32;1.0;300;0.00
2018-01-06 08:59:58;-0.5;0;1.5;270;0.00
2018-01-06 09:59:58;-0.1;44;2.1;280;0.00
2018-01-06 10:59:58;-0.7;75;3.1;310;0.00
2018-01-06 11:59:58;1.4;0;2.6;320;0.00
2018-01-06 12:59:58;1.4;0;3.6;340;0.00
2018-01-06 13:59:58;2.0;0;3.6;360;0.00
2018-01-06 14:59:58;1.4;0;4.6;350;0.00
2018-01-06 15:59:58;1.0;0;4.1;360;0.00
2018-01-06 16:59:58;0.4;0;3.1;10;0.00
2018-01-06 17:59:58;-0.7;0;3.6;350;0.00
2018-01-06 18:59:58;-0.7;0;2.6;360;0.00
2018-01-06 19:59:58;-1.2;0;2.6;360;0.00
2018-01-06 20:59:58;-1.2;0;3.6;360;0.00
2018-01-06 21:59:58;-3.2;0;2.6;360;0.00
2018-01-06 22:59:58;-3.2;0;2.1;360;0.00
2018-01-06 23:59:59;-3.7;0;2.1;300;0.00
2018-01-07 00:59:59;-4.1;0;1.0;270;0.00
2018-01-07 01:59:58;-4.6;0;1.5;280;0.00
2018-01-07 02:59:59;-5.1;0;1.0;280;0.00
2018-01-07 03:59:58;-6.7;0;1.5;270;0.00
2018-01-07 04:59:59;-6.1;0;1.5;260;0.00
